"compte";"source";"monnaie ad";"monnaie"
"7MI3, R.4, 38";"p. 72 v [n° 52979, 1390-10-08]";15;"franc or"
"7MI3, R.4, 38";"p. 79 v [n° 52987, 1390-07-28]";15;"franc or"
"7MI3, R.4, 38";"p. 89 v [n° 52996, 1391-01-12]";15;"franc or"
"7MI3, R.4, 38";"p. 105 v [n° 53034, 1391-04-20]";16;"franc or"
"7MI3, R.4, 38";"p. 107 [n° 53055, 1391-06-01]";16;"franc or"
"7MI3, R.4, 38";"p. 109 [n° 53062, 1391-06-01]";15;"franc or"
"7MI3, R.4, 38";"p. 109 [n° 53063, 1391-06-01]";15;"franc or"
"7MI3, R.4, 38";"p. 148 [n° 53130, 1390-12-04]";15;"franc or"
"7MI3, R.4, 38";"p. 154 [n° 53212, 1392-01-17]";16;"franc or"
"7MI3, R.4, 38";"p. 166 [n° 53213, 1390-03-21]";16;"franc or"
"7MI3, R.3, 37.2(269)";"p. 301 v [n° 53234, 1389-09-11]";16;"franc or"
"1MI29, r.7, 70";"p. 70.26 [n° 53925, 1381-02-25]";16;"franc or"
"7 MI 3,  r. 11 et r. 12, 50";"p. 153 v [n° 57256, 1405-11-07]";16;"franc or reg"
"7 MI 3,  r. 11 et r. 12, 50";"p. 160 [n° 57284, 1405-04-19]";19;"franc or"
"7 MI 3,  r. 11 et r. 12, 50";"p. 160 [n° 57284, 1405-04-19]";22;"écus"
"7 MI 3,  r. 11 et r. 12, 50";"p. 161 v [n° 57292, 1405-06-20]";15;"franc or"
"7 MI 3,  r. 11 et r. 12, 50";"p. 166 v [n° 57313, 1406-11-07]";16;"franc or"
"7 MI 3,  r. 11 et r. 12, 50";"p. 177 v [n° 57365, 1405-11-27]";20;"écus"
"7 MI 3,  r. 11, R49";"p. 25 [n° 57388, 1404-01-13]";16;"franc or reg"
"7 MI 3,  r. 11, R49 bis";"p. 23 [n° 57390, 1402-12-10]";18,5;"écus"
"7 MI 3,  r. 14, 53";"p. 115 [n° 57425, 1405-02-09]";16;"franc or"
"7 MI 3,  r. 14, 53";"p. 115 v [n° 57426, 1405-02-09]";16;"franc or"
"7 MI 3,  r. 14, 53";"p. 115 v [n° 57427, 1405-02-09]";16;"franc or"
"7 MI 3,  r. 14, 53";"p. 152 [n° 57456, 1406-06-25]";16;"franc or"
"7 MI 3,  r. 15 et r. 16, 55";"p. 266 v [n° 57574, 1409-01-22]";16;"franc or"
"7 MI 3,  r. 15 et r. 16, 55";"p. 269 [n° 57585, 1409-10-31]";16;"franc or"
"7 MI 3,  r. 15 et r. 16, 55";"p. 269 [n° 57586, 1409-10-31]";16;"franc or"
"7 MI 3,  r. 15 et r. 16, 55";"p. 269 v [n° 57596, 1409-10-31]";16;"franc or"
"7 MI 3,  r. 15 et r. 16, 55";"p. 269 v [n° 57597, 1409-10-31]";16;"franc or"
"7 MI 3,  r. 15 et r. 16, 55";"p. 408 v [n° 57635, 1408-01-31]";16;"franc or"
"7 MI 3,  r. 16 et r. 17, 56";"p. 133 [n° 57801, 1408-10-07]";16;"franc or"
"7 MI 3,  r. 16 et r. 17, 56";"p. 136 v [n° 57810, 1410-02-09]";16;"franc or"
"7 MI 3,  r. 16 et r. 17, 56";"p. 137 [n° 57811, 1411-07-01]";16;"franc or"
"7 MI 3,  r. 16 et r. 17, 56";"p. 137 [n° 57812, 1411-07-11]";16;"franc or"
"7 MI 3,  r. 16 et r. 17, 56";"p. 137 [n° 57813, 1411-07-11]";16;"franc or"
"7 MI 3,  r. 16 et r. 17, 56";"p. 137 [n° 57814, 1411-07-11]";16;"franc or"
"7 MI 3,  r. 16 et r. 17, 56";"p. 137 [n° 57815, 1411-07-11]";16;"franc or"
"7 MI 3,  r. 16 et r. 17, 56";"p. 137 v [n° 57820, 1410-06-13]";16;"franc or"
"7 MI 3,  r. 16 et r. 17, 56";"p. 171 v [n° 57825, 1411-02-02]";16;"franc or"
"7 MI 3,  r. 16 et r. 17, 56";"p. 171 v [n° 57827, 1411-02-02]";15;"franc or"
"7 MI 3,  r. 16 et r. 17, 56";"p. 205 v [n° 57837, 1410-08-21]";16;"franc or"
"7 MI 3,  r. 17 et r. 18, 57";"p. 104 [n° 57941, 1412-03-29]";16;"franc or"
"7 MI 3,  r. 17 et r. 18, 57";"p. 104 [n° 57942, 1412-02-02]";16;"franc or"
"7 MI 3,  r. 17 et r. 18, 57";"p. 104 v [n° 57943, 1411-03-10]";16;"franc or"
"7 MI 3,  r. 17 et r. 18, 57";"p. 153 v [n° 57955, 1412-03-29]";19;"écus"
"7 MI 3,  r. 17 et r. 18, 57";"p. 182 v [n° 58037, 1412-08-03]";16;"franc or"
"7 MI 3,  r. 17 et r. 18, 57";"p. 192 [n° 58058, 1412-06-01]";16;"franc or"
"7 MI 3,  r. 18 et r. 19, 59";"p. 218 [n° 58072, 1412-10-28]";19;"écus"
"7 MI 3,  r. 18 et r. 19, 59";"p. 218 [n° 58073, 1412-10-28]";19;"écus"
"7 MI 3,  r. 18 et r. 19, 59";"p. 218 [n° 58075, 1412-10-28]";19;"écus"
"7 MI 3,  r. 18 et r. 19, 59";"p. 218 v [n° 58078, 1412-10-28]";19;"écus"
"7 MI 3,  r. 18 et r. 19, 59";"p. 218 v [n° 58079, 1412-12-01]";19;"écus"
"7 MI 3,  r. 18 et r. 19, 59";"p. 218 v [n° 58081, 1412-12-01]";19;"écus"
"7 MI 3,  r. 18 et r. 19, 59";"p. 218 v [n° 58082, 1412-12-01]";19;"écus"
"7 MI 3,  r. 18 et r. 19, 59";"p. 219 [n° 58085, 1412-12-13]";19;"écus"
"7 MI 3,  r. 18 et r. 19, 59";"p. 219 [n° 58087, 1412-12-13]";19;"écus"
"7 MI 3,  r. 18 et r. 19, 59";"p. 219 [n° 58090, 1412-12-13]";19;"écus"
"7 MI 3,  r. 18 et r. 19, 59";"p. 219 [n° 58091, pas de date]";19;"écus"
"7 MI 3,  r. 20, 60";"p. 296 v [n° 58244, 1414-04-19]";16;"franc or"
"7 MI 3,  r. 20, 60";"p. 300 v [n° 58246, 1414-06-08]";16;"franc or"
"7 MI 3,  r. 20, 60";"p. 306 [n° 58253, 1414-07-16]";16;"franc or"
"7 MI 3,  r. 20, 60";"p. 306 [n° 58254, 1414-07-16]";16;"franc or"
"7 MI 3,  r. 20, 60";"p. 306 [n° 58257, 1414-07-16]";16;"franc or"
"7 MI 3,  r. 21, r. 22, 61";"p. 314 v [n° 58290, 1416-04-15]";16;"franc or"
"7 MI 3,  r. 21, r. 22, 61";"p. 314 v [n° 58291, 1416-04-15]";16;"franc or"
"7 MI 3,  r. 21, r. 22, 61";"p. 317 v [n° 58309, 1414-04-01]";18;"écus"
"7 MI 3,  r. 21, r. 22, 61";"p. 317 v [n° 58311, 1414-04-01]";16;"franc or"
"7 MI 3,  r. 21, r. 22, 61";"p. 317 v [n° 58312, 1414-04-01]";18;"écus"
"7 MI 3,  r. 21, r. 22, 61";"p. 317 v [n° 58313, 1414-04-01]";18;"écus"
"7 MI 3,  r. 21, r. 22, 61";"p. 318 [n° 58316, 1414-11-19]";16;"franc or"
"7 MI 3,  r. 21, r. 22, 61";"p. 318 [n° 58317, 1416-06-02]";16;"franc or"
"7 MI 3,  r. 21, r. 22, 61";"p. 319 [n° 58321, 1416-06-02]";16;"franc or"
"7 MI 3,  r. 21, r. 22, 61";"p. 530 v [n° 58396, 1415-07-20]";16;"franc or"
"7 MI 3,  r. 21, r. 22, 61";"p. 541 [n° 58516, 1414-02-08]";18;"écus"
"7 MI 3,  r. 21, r. 22, 61";"p. 541 [n° 58517, 1414-02-08]";18;"écus"
"7 MI 3,  r. 21, r. 22, 61";"p. 541 [n° 58518, 1414-02-08]";18;"écus"
"7 MI 3,  r. 21, r. 22, 61";"p. 548 [n° 58560, 1415-01-04]";16;"franc or"
"7 MI 3,  r. 21, r. 22, 61";"p. 549 [n° 58561, 1415-01-04]";16;"franc or"
"7 MI 3,  r. 21, r. 22, 61";"p. 549 [n° 58562, 1415-01-04]";16;"franc or"
"7 MI 3,  r. 21, r. 22, 61";"p. 549 [n° 58563, 1415-01-04]";16;"franc or"
"7 MI 3,  r. 21, r. 22, 61";"p. 549 [n° 58566, 1415-01-04]";16;"franc or"
"7 MI 3,  r. 21, r. 22, 61";"p. 566 [n° 58594, 1415-04-03]";16;"franc or"
"7 MI 3,  r. 21, r. 22, 61";"p. 566 [n° 58595, 1415-04-22]";16;"franc or"
"7 MI 3,  r. 21, r. 22, 61";"p. 566 v [n° 58596, 1415-05-06]";19;"écus"
"7 MI 3,  r. 21, r. 22, 61";"p. 587 v [n° 58619, 1414-12-28]";16;"franc or"
"7 MI 3,  r. 21, r. 22, 61";"p. 589 [n° 58627, 1415-04-20]";19;"Ducat"
"7 MI 3,  r. 21, r. 22, 61";"p. 601 v [n° 58652, 1416-01-05]";18;"écus"
"7 MI 3,  r. 21, r. 22, 61";"p. 613 [n° 58668, 1416-04-06]";16;"franc or"
"7 MI 3,  r. 21, r. 22, 61";"p. 613 v [n° 58674, 1416-07-03]";16;"franc or"
"7 MI 3,  r. 23, 62";"p. 94 [n° 58713, 1416-07-13]";18;"écus"
"7 MI 3,  r. 23, 62";"p. 96 [n° 58722, 1416-12-31]";16;"franc or"
"7 MI 3,  r. 23, 62";"p. 135 [n° 58765, 1415-01-15]";16;"franc or"
"7 MI 3,  r. 23, 62";"p. 135 [n° 58766, 1415-01-15]";16;"franc or"
"7 MI 3,  r. 23, 62";"p. 135 [n° 58767, 1415-01-15]";16;"franc or"
"7 MI 3,  r. 23, 62";"p. 135 [n° 58768, 1415-01-15]";16;"franc or"
"7 MI 3,  r. 23, 63";"p. 61 v [n° 58772, 1417-06-12]";16;"franc or"
"7 MI 3,  r. 23, 63";"p. 61 v [n° 58772, 1417-06-12]";19;"écus"
"7 MI 3,  r. 23, 63";"p. 62 v [n° 58774, 1417-04-08]";18;"écus"
"7 MI 3,  r. 23, 63";"p. 104 [n° 58810, 1417-04-30]";16;"franc or"
"7 MI 3,  r. 23, 63";"p. 140 v [n° 58859, 1417-04-30]";16;"franc or"
"7 MI 3,  r. 23, 63";"p. 141 [n° 58860, 1417-07-15]";16;"franc or"
"7 MI 3,  r. 24, 64";"p. 201 [n° 58880, 1417-11-21]";16;"franc or"
"7 MI 3,  r. 24, 64";"p. 325 [n° 58906, 1418-12-03]";16;"franc or"
"7 MI 3,  r. 25 et r. 26, 65";"p. 176 v [n° 59275, 1419-06-29]";24;"écus"
"7 MI 3,  r. 25 et r. 26, 65";"p. 325 v [n° 59306, 1419-03-29]";16;"franc or"
"7 MI 3,  r. 26 et r. 27, 66";"p. 228 [n° 59325, 1419-11-17]";24;"écus"
"7 MI 3,  r. 26 et r. 27, 66";"p. 438 [n° 59376, 1420-04-01]";18;"écus"
"7 MI 3,  r. 31 et r. 32, 69";"p. 171 v [n° 59557, 1423-11-18]";20;"écus"
"7 MI 3,  r. 31 et r. 32, 69";"p. 171 v [n° 59558, 1423-11-18]";20;"écus"
"7 MI 3,  r. 31 et r. 32, 69";"p. 171 v [n° 59562, 1423-11-18]";20;"écus"
"7 MI 3, r. 10 et r. 11, 48";"p. 60 [n° 59631, 1403-02-09]";16;"franc or reg"
"7 MI 3, r. 10 et r. 11, 48";"p. 78 [n° 59654, 1402-09-10]";15;"franc or"
"7 MI 3, r. 10 et r. 11, 48";"p. 80 [n° 59657, 1401-04-22]";16;"franc or reg"
"7 MI 3, r. 10 et r. 11, 48";"p. 135 [n° 59692, 1402-11-05]";15;"franc or"
"7 MI 3, r. 10 et r. 11, 48";"p. 136 v [n° 59710, 1402-12-21]";16;"franc or"
"7 MI 3, r. 32, 70";"p. 138 v [n° 59845, 1425-04-15]";22;"écus"
"7 MI 3, r. 32, 70";"p. 141 v [n° 59868, 1425-02-15]";22;"écus"
"7 MI 3, r. 33 et 34, 71";"p. 344 v [n° 60040, 1425-10-28]";22;"écus"
"7 MI 3, r. 33 et 34, 71";"p. 344 v [n° 60041, 1425-10-28]";22;"écus"
"7 MI 3, r. 33 et 34, 71";"p. 344 v [n° 60042, 1425-10-28]";22;"écus"
"7 MI 3, r. 33 et 34, 71";"p. 345 [n° 60043, 1425-10-28]";22;"écus"
